CP,REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,2015,1,1000,104,73917,0,0,79508,0,2236,0,94.2,0.0,14.3,0.0
1,2015,1.1,1000,101,71967,0,0,72569,0,123,0,93.7,0.0,14.3,0.0
1,2015,1.1.1,1000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1,1000,33,19258,0,0,27620,0,11,0,90.4,0.0,11.2,0.0
1,2388,1,45000,0,0,0,0,3371,0,800,0,0.0,0.0,0.0,0.0
1,2388,1,84000,0,0,0,0,1860,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1,1000,33,19258,0,0,27620,0,11,0,90.4,0.0,11.2,0.0
1,2388,1.1,45000,0,0,0,0,3371,0,800,0,0.0,0.0,0.0,0.0
1,2388,1.1,84000,0,0,0,0,1860,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,1000,1,1200,0,0,0,0,0,0,180.0,0.0,11.8,0.0
1,2388,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,84000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2659,1,1000,18,18813,0,0,4004,0,0,0,159.0,0.0,10.8,0.0
1,2659,1.1,1000,18,18813,0,0,4004,0,0,0,159.0,0.0,10.8,0.0
1,2659,1.1.1,1000,5,5170,0,0,0,0,0,0,159.0,0.0,10.8,0.0
3,232,1,3000,8,38289,0,0,149524,0,0,0,132.7,0.0,12.3,0.0
3,232,1,36000,0,0,0,0,1608,0,0,0,0.0,0.0,0.0,0.0
3,232,1.1,3000,8,38289,0,0,149263,0,0,0,132.7,0.0,12.3,0.0
3,232,1.1,36000,0,0,0,0,1608,0,0,0,0.0,0.0,0.0,0.0
3,232,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,232,1.1.1,36000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,467,1,45000,0,0,0,0,2223,0,0,0,0.0,0.0,0.0,0.0
3,467,1,46000,0,0,0,0,1282,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,45000,0,0,0,0,2223,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,46000,0,0,0,0,1282,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1,3000,2,1900,0,0,12002,0,66,0,104.8,0.0,13.9,0.0
3,478,1,35000,0,0,0,0,5576,0,0,0,0.0,0.0,0.0,0.0
3,478,1,45000,0,0,0,0,2267,0,0,0,0.0,0.0,0.0,0.0
3,478,1,60000,0,0,0,0,1083,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1,3000,2,1900,0,0,11973,0,66,0,120.8,0.0,14.5,0.0
3,478,1.1,35000,0,0,0,0,501,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1,60000,0,0,0,0,1083,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,35000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,60000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,518,1,3000,0,0,0,0,1902,0,13,0,0.0,0.0,0.0,0.0
3,518,1.1,3000,0,0,0,0,1902,0,13,0,0.0,0.0,0.0,0.0
3,518,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,1000,1,1927,0,0,4839,0,0,0,239.4,0.0,11.0,0.0
3,2518,1,3000,933,1590301,0,0,5716513,0,11849,0,217.0,0.0,10.6,0.0
3,2518,1,4000,0,0,0,0,9848,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,5000,0,0,0,0,1244,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,7000,8,12670,0,0,63246,0,0,0,245.3,0.0,10.1,0.0
3,2518,1,8000,2,3079,0,0,12045,0,0,0,269.2,0.0,8.8,0.0
3,2518,1,10000,1,1800,0,0,4995,0,0,0,240.0,0.0,11.0,0.0
3,2518,1,11000,1,2559,0,0,2910,0,0,0,179.3,0.0,10.8,0.0
3,2518,1,12000,1,1235,0,0,5018,0,0,0,239.3,0.0,8.8,0.0
3,2518,1,14000,2,3195,0,0,5783,0,0,0,276.7,0.0,10.8,0.0
3,2518,1,18000,12,22289,0,0,35624,0,0,0,244.5,0.0,10.1,0.0
3,2518,1,19000,0,0,0,0,942,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,20000,2,3750,0,0,6350,0,0,0,239.8,0.0,9.8,0.0
3,2518,1,24000,1,2356,0,0,3653,0,0,0,95.7,0.0,11.9,0.0
3,2518,1,25000,1,1280,0,0,3669,0,0,0,167.0,0.0,10.8,0.0
3,2518,1,27000,0,0,0,0,2011,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,29000,0,0,0,0,672,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,30000,1,2323,0,0,2735,0,0,0,204.0,0.0,10.8,0.0
3,2518,1,32000,2,4338,0,0,11236,0,0,0,294.2,0.0,9.7,0.0
3,2518,1,33000,1,1459,0,0,2827,0,0,0,239.1,0.0,10.8,0.0
3,2518,1,35000,3,5384,0,0,10189,0,0,0,241.3,0.0,10.1,0.0
3,2518,1,36000,1,1477,0,0,1264,0,0,0,59.4,0.0,11.8,0.0
3,2518,1,37000,0,0,0,0,1117,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,38000,1,2657,0,0,2656,0,0,0,299.1,0.0,10.8,0.0
3,2518,1,40000,1,3800,0,0,4333,0,0,0,300.0,0.0,10.8,0.0
3,2518,1,41000,0,0,0,0,716,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,42000,0,0,0,0,1400,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,44000,1,1611,0,0,3236,0,0,0,359.7,0.0,8.8,0.0
3,2518,1,45000,5,11146,0,0,28916,0,0,0,208.5,0.0,10.9,0.0
3,2518,1,46000,3,7363,0,0,13404,0,2,0,244.2,0.0,11.7,0.0
3,2518,1,47000,0,0,0,0,607,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,49000,0,0,0,0,1119,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,50000,1,1208,0,0,5210,0,0,0,287.3,0.0,10.8,0.0
3,2518,1,52000,3,4354,0,0,5139,0,0,0,254.5,0.0,10.8,0.0
3,2518,1,53000,5,6849,0,0,9093,0,0,0,251.0,0.0,10.4,0.0
3,2518,1,54000,0,0,0,0,1651,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,56000,0,0,0,0,1781,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,57000,0,0,0,0,1816,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,58000,2,1760,0,0,2876,0,0,0,359.4,0.0,13.0,0.0
3,2518,1,60000,163,276968,0,0,683247,0,3089,0,225.5,0.0,10.0,0.0
3,2518,1,61000,0,0,0,0,1145,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,63000,2,7544,0,0,11239,0,0,0,250.7,0.0,10.8,0.0
3,2518,1,64000,1,1275,0,0,3461,0,0,0,239.6,0.0,11.0,0.0
3,2518,1,65000,6,10928,0,0,14634,0,0,0,286.8,0.0,9.2,0.0
3,2518,1,66000,1,1850,0,0,1848,0,0,0,299.2,0.0,11.0,0.0
3,2518,1,67000,1,471,0,0,0,0,0,0,24.0,0.0,11.5,0.0
3,2518,1,69000,1,2167,0,0,7189,0,0,0,359.1,0.0,11.4,0.0
3,2518,1,70000,0,0,0,0,1745,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,71000,2,3143,0,0,37339,0,0,0,197.5,0.0,10.9,0.0
3,2518,1,71100,1,2043,0,0,24825,0,0,0,239.4,0.0,11.0,0.0
3,2518,1,71140,0,0,0,0,9514,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,73000,1,1050,0,0,1030,0,0,0,179.6,0.0,10.8,0.0
3,2518,1,75000,3,5883,0,0,10242,0,0,0,165.4,0.0,10.3,0.0
3,2518,1,76000,1,2214,0,0,3888,0,0,0,299.9,0.0,11.0,0.0
3,2518,1,77000,0,0,0,0,1306,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,78000,1,1056,0,0,2433,0,0,0,238.9,0.0,8.8,0.0
3,2518,1,79000,34,57414,0,0,171513,0,105,0,231.0,0.0,10.4,0.0
3,2518,1,80000,1,860,0,0,10910,0,0,0,161.6,0.0,10.8,0.0
3,2518,1,82000,0,0,0,0,4598,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,83000,4,6791,0,0,21261,0,0,0,238.3,0.0,10.9,0.0
3,2518,1,85000,1,933,0,0,5516,0,0,0,239.0,0.0,10.8,0.0
3,2518,1,87000,0,0,0,0,2686,0,2,0,0.0,0.0,0.0,0.0
3,2518,1,90000,2,2962,0,0,4709,0,0,0,239.7,0.0,9.8,0.0
3,2518,1,91000,1,1524,0,0,8079,0,0,0,359.9,0.0,8.8,0.0
3,2518,1,92000,0,0,0,0,4092,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,94000,0,0,0,0,2271,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,98000,0,0,0,0,4593,0,0,0,0.0,0.0,0.0,0.0
