REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,SVSK_R,SVSK_V,SVS_R,SVS_V,DKREDR_K,DKREDV_K,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,"1",1000,40,70293.464,0,0,200.6,0,8.441,0,1340,0,1837471.85712,0,14248.12084,0,184.5,0,8.773,0
1,"1",3000,38,91573.631,0,0,212.9,0,9.055,0,1429,2,2575254.30873,1936.58194,37207.83668,0,212.9,158,8.699,10.001
1,"1",4000,34,100833.498,0,0,231.2,0,8.983,0,736,1,1327027.20913,2296.04587,22722.05714,0,185.8,160.4,8.994,7
1,"1",5000,1,3000,0,0,276.2,0,8.2,0,17,0,53427.09988,0,397.09227,0,200.8,0,9.038,0
1,"1",7000,7,20381.938,0,0,242.9,0,8.327,0,333,0,484717.3586,0,10749.77352,0,181.5,0,8.839,0
1,"1",8000,0,0,0,0,0,0,0,0,16,0,45510.08489,0,0,0,189.1,0,8.018,0
1,"1",10000,0,0,0,0,0,0,0,0,2,0,2152.08149,0,0,0,195.8,0,10.371,0
1,"1",11000,3,10211.2,0,0,196.2,0,8.683,0,80,0,199260.76279,0,4491.31797,0,180.1,0,8.448,0
1,"1",12000,0,0,0,0,0,0,0,0,23,0,46618.87265,0,0,0,214.6,0,8.734,0
1,"1",14000,8,18701,0,0,221.3,0,8.696,0,275,0,403040.49353,0,6852.36811,0,173.9,0,8.715,0
1,"1",15000,0,0,0,0,0,0,0,0,24,0,77085.58885,0,0,0,205.2,0,8.695,0
1,"1",17000,2,11211.845,0,0,287.8,0,9.82,0,29,1,73908.7256,5582.93657,36.373,46.35849,219.4,22.2,9.006,6.5
1,"1",18000,18,53720.154,0,0,245.5,0,8.603,0,463,1,717577.27837,726.07485,11894.5326,0,193.1,46.3,8.655,6.7
1,"1",19000,0,0,0,0,0,0,0,0,25,0,68536.99903,0,0.60619,0,209.8,0,8.197,0
1,"1",20000,31,64265.962,0,0,215.4,0,9.098,0,872,0,1282915.68249,0,29277.76356,0,196.6,0,9.05,0
1,"1",22000,27,70518.286,0,0,216.7,0,8.275,0,1294,1,2159989.40658,39715.15873,45257.52111,39715.15873,188.2,0,8.391,0
1,"1",24000,1,2644.905,0,0,84.1,0,9.95,0,20,1,51790.1438,23468.3111,1737.73682,23468.3111,207.5,0,8.199,0
1,"1",25000,1,1600,0,0,60.1,0,9.95,0,33,0,74121.49087,0,5791.32198,0,229.2,0,8.241,0
1,"1",26000,0,0,0,0,0,0,0,0,1,0,1387.94894,0,0,0,227.6,0,5.9,0
1,"1",27000,1,4950,0,0,240.2,0,8.6,0,12,0,39879.51689,0,0,0,202.6,0,8.366,0
1,"1",28000,0,0,0,0,0,0,0,0,35,0,176743.37875,0,16175.88824,0,163.8,0,9.216,0
1,"1",29000,1,1969.971,0,0,192.1,0,9.95,0,107,1,148743.47771,8463.46409,1770.68236,0,176.2,144.6,9.437,6.5
1,"1",30000,1,3265.28,0,0,240.2,0,8.2,0,6,0,7916.4234,0,0,0,226.5,0,9.06,0
1,"1",32000,1,1004,0,0,84.1,0,9.95,0,93,0,192629.20054,0,3.79579,0,193.8,0,8.814,0
1,"1",33000,0,0,0,0,0,0,0,0,38,0,90999.03503,0,493.53379,0,225.6,0,8.561,0
1,"1",34000,0,0,0,0,0,0,0,0,15,0,42267.00829,0,0,0,209.5,0,8.083,0
1,"1",35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"1",36000,19,38211.86,0,0,211.3,0,8.905,0,1063,0,1624934.40587,0,50125.34191,0,200,0,9.272,0
1,"1",37000,0,0,0,0,0,0,0,0,35,0,57807.64547,0,1777.00795,0,201.9,0,9.211,0
1,"1",38000,0,0,0,0,0,0,0,0,24,0,60524.80728,0,1855.82205,0,234.9,0,8.65,0
1,"1",40000,120,485476.73467,0,0,220.7,0,8.913,0,4190,32,12166595.70841,103634.9106,94572.6256,17667.7113,193.2,143,8.458,6.883
1,"1",41000,25,100135.836,0,0,215.7,0,8.959,0,871,3,1997067.93629,10446.92912,34448.15686,0,197.3,125.4,8.507,8.782
1,"1",42000,2,7350,0,0,212.4,0,8.212,0,137,0,197511.82294,0,1389.94807,0,210,0,9.029,0
1,"1",44000,0,0,0,0,0,0,0,0,5,0,14710.52681,0,0,0,232.4,0,7.958,0
1,"1",45000,82,663991.228,0,0,232.5,0,9.5,0,3009,63,14159432.45387,963677.37317,200169.38814,512245.00566,202.4,192.8,8.529,7.088
1,"1",46000,76,305232.57311,0,0,207.3,0,9.329,0,2007,25,6157165.92004,202105.26534,206631.77138,42319.84111,198.1,64.1,8.801,8.071
1,"1",47000,3,11916.02,0,0,344.1,0,7.546,0,39,1,112711.23466,1068.70936,1459.1428,0,243.9,29.7,8.116,6.2
1,"1",49000,0,0,0,0,0,0,0,0,29,1,73129.21045,72.86146,0,0,201.8,11.8,8.521,6.5
1,"1",50000,20,63040.124,0,0,207.9,0,7.885,0,1080,0,1864601.55654,0,13663.62622,0,189.2,0,8.941,0
1,"1",52000,31,58497.905,0,0,219.5,0,8.495,0,1018,0,1455030.1719,0,19753.35185,0,201.5,0,8.714,0
1,"1",53000,1,3048,0,0,276.2,0,7.95,0,49,0,117735.1414,0,2966.72235,0,241.4,0,8.228,0
1,"1",54000,2,12703.097,0,0,259.7,0,8.236,0,14,0,50484.52462,0,24.33848,0,203.9,0,8.306,0
1,"1",56000,2,3964.02,0,0,156,0,9.95,0,23,1,63701.75318,3837.94677,0,0,220.3,85.8,8.299,7
1,"1",57000,22,54916.905,0,0,199.7,0,9.386,0,732,3,1063556.08876,19460.44434,37744.1896,18159.43034,184.8,95.4,8.87,6.071
1,"1",58000,1,5723,0,0,360,0,4.99,0,35,0,93473.45113,0,2546.02838,0,214.8,0,7.974,0
1,"1",60000,45,109660.668,0,0,220.9,0,8.782,0,1170,5,1881324.49621,11361.17711,51161.50608,0,189,122.8,8.776,7.452
1,"1",61000,0,0,0,0,0,0,0,0,20,0,59261.33533,0,3939.73535,0,210,0,8.98,0
1,"1",63000,3,7038.874,0,0,246.4,0,8.048,0,449,1,574104.60061,2526.97089,12080.44656,0,202.3,60.5,9.421,8
1,"1",64000,0,0,0,0,0,0,0,0,4,0,7683.42989,0,1.42184,0,210.4,0,9.252,0
1,"1",65000,48,117853.14898,0,0,199.2,0,9.138,0,1577,3,2986446.49846,29607.06842,51699.22525,3199.03625,186.2,161.9,8.903,7.242
1,"1",66000,1,6300,0,0,180.1,0,8.2,0,23,0,69672.44657,0,14.79533,0,180.8,0,8.514,0
1,"1",67000,0,0,0,0,0,0,0,0,1,0,1212.12045,0,0,0,85.8,0,12.75,0
1,"1",68000,1,2439,0,0,240.2,0,8.2,0,18,0,38525.65407,0,0,0,217.8,0,8.465,0
